#1
double t_data(45,15)  # storm weather influent data"t"	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.STO	X.A	X.SS	Q
2	0.9	57.3	74	46	0	0	306.12	69	344	14	2.865	11.46	236	21812
4	0.5	55.1	71.63	44	0	0	241.12	66.12	330.6	13.775	2.755	11.02	280	19673
9	0.6	54.1	70.33	46	0	0.6	262.12	64.92	324.6	13.525	2.705	10.82	240	18000
13	0.7	65.2	84.76	45	0	0	306.12	78.24	391.2	16.3	3.26	13.04	288	19355
18	0.6	55	71.5	47	0	0	241.12	66	330	13.75	2.75	11	176	18012
25	0.8	71.6	93.08	42	0	0	262.12	85.92	429.6	17.9	3.58	14.32	268	16535
30	0.6	65	84.5	44	0	0	76.62	78	390	16.25	3.25	13	204	18089
33	0.5	70.1	91.13	46	0	0	311.12	84.12	420.6	17.525	3.505	14.02	268	17793
37	0.7	71	92.3	44	0	0.6	290.62	85.2	426	17.75	3.55	14.2	172	18226
45	0.6	71.2	92.56	45	0	0.8	286.12	85.44	427.2	17.8	3.56	14.24	184	18000
51	0.7	65.1	84.63	48	0	0	241.12	78.12	390.6	16.275	3.255	13.02	278	16215
58	0.8	59.1	76.83	47	0	0	301.12	70.92	354.6	14.775	2.955	11.82	234	18619
94	0.8	77.4	100.62	45	0	0	191.12	92.88	464.4	19.35	3.87	15.48	208	20575
97	0.6	74.3	96.59	34	0	0	292.12	89.16	445.8	18.575	3.715	14.86	264	19800
101	0.7	69.8	90.74	47	0	0.5	264.12	83.76	418.8	17.45	3.49	13.96	186	20000
104	0.8	69.8	90.74	46	0	0	266.12	83.76	418.8	17.45	3.49	13.96	246	20660
108	0.5	69.5	90.35	44	0	0	291.12	83.4	417	17.375	3.475	13.9	216	23349
111	0.7	73	94.9	45	0	0	287.12	87.6	438	18.25	3.65	14.6	264	18250
115	0.9	61.5	79.95	47	0	0	293.12	73.8	369	15.375	3.075	12.3	160	17586
118	0.8	73.4	95.42	42	0	0.7	226.12	88.08	440.4	18.35	3.67	14.68	178	18420
122	0.9	59.4	77.22	42	0	0	321.12	71.28	356.4	14.85	2.97	11.88	228	22778
129	0.5	91.2	118.56	44	0	0.9	336.12	109.44	547.2	22.8	4.56	18.24	308	21601
132	0.6	82.9	107.77	44	0	0	346.12	99.48	497.4	20.725	4.145	16.58	308	22483
136	0.7	61.6	80.08	46	0	0	331.62	73.92	369.6	15.4	3.08	12.32	166	17582
139	0.6	62.1	80.73	48	0	0	279.62	74.52	372.6	15.525	3.105	12.42	158	19484
143	0.8	64.7	84.11	47	0	0	255.12	77.64	388.2	16.175	3.235	12.94	192	18106
146	0.6	67.6	87.88	46	0	0.7	276.12	81.12	405.6	16.9	3.38	13.52	202	21069
150	0.5	66.9	86.97	45	0	0	296.12	80.28	401.4	16.725	3.345	13.38	248	20660
153	0.7	50.2	65.26	34	0	0	258.62	60.24	301.2	12.55	2.51	10.04	174	19308
157	0.6	43.4	56.42	48	0	0.8	256.12	52.08	260.4	10.85	2.17	8.68	134	21360
160	0.7	50.9	66.17	46	0	0	301.12	61.08	305.4	12.725	2.545	10.18	196	20755
164	0.8	56	72.8	44	0	0	287.12	67.2	336	14	2.8	11.2	168	26560
167	0.8	67.5	87.75	45	0	0	236.12	81	405	16.875	3.375	13.5	250	22169
171	0.6	65.3	84.89	47	0	0	287.12	78.36	391.8	16.325	3.265	13.06	204	20562
174	0.7	62.3	80.99	42	0	0	236.12	74.76	373.8	15.575	3.115	12.46	224	21103
178	0.8	57.2	74.36	47	0	0.6	271.12	68.64	343.2	14.3	2.86	11.44	120	20284
181	0.5	69.1	89.83	44	0	0	316.12	82.92	414.6	17.275	3.455	13.82	202	18514
185	0.7	86	111.8	46	0	0	258.62	103.2	516	21.5	4.3	17.2	204	20122
188	0.9	79.6	103.48	48	0	0	316.12	95.52	477.6	19.9	3.98	15.92	226	19000
191	0.8	60.7	78.91	47	0	0	286.12	72.84	364.2	15.175	3.035	12.14	196	17877
194	0.9	54.6	70.98	45	0	0	381.12	65.52	327.6	13.65	2.73	10.92	194	20569
199	0.5	84.6	109.98	34	0	0	255.12	101.52	507.6	21.15	4.23	16.92	160	19216
202	0.6	64.3	83.59	45	0	0	381.12	77.16	385.8	16.075	3.215	12.86	134	17938
206	0.7	89.3	116.09	46	0	0	252.12	107.16	535.8	22.325	4.465	17.86	230	20328
209	0.6	63.3	82.29	34	0	0	276.12	75.96	379.8	15.825	3.165	12.66	194	20267
